[21:33:22] Info   ----> Process of diagnostic specification
[21:33:23] Info   Importing Service '8502'.
[21:33:23] Info   <---- Importing Services
[21:33:23] Info   ----> Importing FaultMemory
[21:33:23] Info   Importing FaultMemory.
[21:33:23] Warn   Could not extract DTC format.
[21:33:23] Info   <---- Importing FaultMemory
[21:33:23] Info   ----> Importing EnvironmentalConditions
[21:33:23] Info   <---- Importing EnvironmentalConditions
[21:33:23] Info   ----> Importing FreezeFrame
[21:33:23] Info   <---- Importing FreezeFrame
[21:33:23] Info   ----> Importing DiagSettings
[21:33:23] Info   Importing DiagSettings
[21:33:23] Info   <---- Importing DiagSettings
[21:33:23] Info   ----> Importing DataCompProps
[21:33:23] Info   <---- Importing DataCompProps
[21:33:23] Info   <<<<<<<<<<<<< CDD Import finished successfully after 0.422
[21:33:23] Info   Shaping imported model for diagnostic OEM 'Vector'
[21:33:23] Info    - Used Diagnostic OEM:  Vector
[21:33:23] Info    - OBD2-Support   (DCM): true
[21:33:23] Info    - OBD2-Support   (DEM): true
[21:33:23] Info    - WWHOBD-Support (DCM): true
[21:33:23] Info    - Microsar:             true
[21:33:23] Info    - Meta-Ecuc-Export:     true
[21:33:23] Info   >>>>>>>>>>>>> SHAPING preparation >>>>>>>>>>>>>
[21:33:23] Info   <<<<<<<<<<<<< SHAPING ready after 0.015s (15ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> SHAPING started >>>>>>>>>>>>>
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep ServiceSelection >>>>>>>>>>>>>
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep ServiceSelection (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep DataPreparation >>>>>>>>>>>>>
[21:33:23] Info   * Shape Data Comp Collections
[21:33:23] Info   * Shape Compu-Methods
[21:33:23] Info   * Fix Unsigned Boolean
[21:33:23] Info   * Convert XInt24/XInt64 to Byte-Array
[21:33:23] Info   * Set Compu-Scale Symbols
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep DataPreparation (completed in 0.016s (16ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep ServiceDefinition >>>>>>>>>>>>>
[21:33:23] Info   * Looking for duplicated services
[21:33:23] Info   * Destroying duplicated services 
[21:33:23] Info     - Service 0x19 - 'FaultMemory_ReadNumber deleted - cause: duplicate
[21:33:23] Info   At Service 0x85 
[21:33:23] Info     - Set 'control option record present' to 'false'
[21:33:23] Info   * Looking for duplicated sub-services
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep ServiceDefinition (completed in 0.016s (16ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep DataDefinition >>>>>>>>>>>>>
[21:33:23] Info   At Ecu 
[21:33:23] Info     - Service: '0x2e 0x100 DevelopmentData_Write' shared data components linked to Service: '0x22 0x100 DevelopmentData_Read' !!!
[21:33:23] Info     - Service: '0x2e 0x101 DataDiagnosticIdentifier_DID_Write' shared data components linked to Service: '0x22 0x101 DataDiagnosticIdentifier_DID_Read' !!!
[21:33:23] Info     - Service: '0x2e 0xf180 Boot_Software_Write' shared data components linked to Service: '0x22 0xf180 Boot_Software_Read' !!!
[21:33:23] Info     - Service: '0x2e 0xf187 Spare_Part_Number_Write' shared data components linked to Service: '0x22 0xf187 Spare_Part_Number_Read' !!!
[21:33:23] Info     - Service: '0x2e 0xf189 EcuIdentification_Write' shared data components linked to Service: '0x22 0xf189 EcuIdentification_Read' !!!
[21:33:23] Info     - Service: '0x2e 0xf18c SerialNumber_Write' shared data components linked to Service: '0x22 0xf18c SerialNumber_Read' !!!
[21:33:23] Info     - Service: '0x2e 0xf190 Vehicle_Identification_Write' shared data components linked to Service: '0x22 0xf190 Vehicle_Identification_Read' !!!
[21:33:23] Info     - Service: '0x2e 0xf193 Hardware_Version_Write' shared data components linked to Service: '0x22 0xf193 Hardware_Version_Read' !!!
[21:33:23] Info   * Combine Pid Parameters
[21:33:23] Info   * Building Service Dids
[21:33:23] Info   * Building Routines
[21:33:23] Info     - Routine 'SampleRoutineControl' created
[21:33:23] Info     - Routine 'SampleRoutineControl_StartOnly' created
[21:33:23] Info   * Shape Routine Parameter Names
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep DataDefinition (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep DataIdentifier >>>>>>>>>>>>>
[21:33:23] Info   At Did 0xf190 - 'Vehicle_Identification' 
[21:33:23] Info     - Set DID property 'IsVIN' to 'true'
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep DataIdentifier (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep Service >>>>>>>>>>>>>
[21:33:23] Info   * Building Diagnostic Event Memories
[21:33:23] Info   * Checking Diagnostic Event Memories (DTC)
[21:33:23] Info   * Checking Diagnostic Event Memories (EDR)
[21:33:23] Info   * Checking Diagnostic Event Memories (SSR)
[21:33:23] Info   At Service 0x10 
[21:33:23] Info     - Qualifier changed from 'DefaultSession_Start' to 'DiagSessionControl'
[21:33:23] Info     - Service action qualifier set to 'SessionControl'
[21:33:23] Info   At Service 0x10 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'StartSession'
[21:33:23] Info   At Service 0x10 SubService 0x2 
[21:33:23] Info     - SubService action qualifier set to 'StartSession'
[21:33:23] Info   At Service 0x10 SubService 0x3 
[21:33:23] Info     - SubService action qualifier set to 'StartSession'
[21:33:23] Info   At Service 0x10 SubService 0x1 
[21:33:23] Info     - Qualifier changed from 'DefaultSession_Start' to 'Default'
[21:33:23] Info   At Service 0x10 SubService 0x2 
[21:33:23] Info     - Qualifier changed from 'ProgrammingSession_Start' to 'Programming'
[21:33:23] Info   At Service 0x10 SubService 0x3 
[21:33:23] Info     - Qualifier changed from 'ExtendedDiagnosticSession_Start' to 'Extended'
[21:33:23] Info   At Service 0x11 
[21:33:23] Info     - Qualifier changed from 'Hard_Reset_Reset' to 'EcuReset'
[21:33:23] Info   At Service 0x11 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'EcuReset'
[21:33:23] Info   At Service 0x11 SubService 0x1 
[21:33:23] Info     - Qualifier changed from 'Hard_Reset_Reset' to 'Hard'
[21:33:23] Info   At Service 0x14 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Clear' to 'ClearDiagInfo'
[21:33:23] Info   At Service 0x14 SubService 
[21:33:23] Info     - SubService action qualifier set to 'Clear'
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Clear' to 'ClearDiagInfo'
[21:33:23] Info   At Service 0x19 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_ReadAllIdentified' to 'ReadDtcInfo'
[21:33:23] Info   At Service 0x19 SubService 0x2 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x3 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x4 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x6 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x7 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x8 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x9 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0xa 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0xc 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0xd 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x14 
[21:33:23] Info     - SubService action qualifier set to 'ReadDtc'
[21:33:23] Info   At Service 0x19 SubService 0x1 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_ReadNumber' to 'RNODTCBSM'
[21:33:23] Info   At Service 0x19 SubService 0x2 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_ReadAllIdentified' to 'RDTCBSM'
[21:33:23] Info   At Service 0x19 SubService 0x3 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_snapshot_ID' to 'RDTCSSI'
[21:33:23] Info   At Service 0x19 SubService 0x4 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_snapshot' to 'RDTCSSBDTC'
[21:33:23] Info   At Service 0x19 SubService 0x6 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_extended' to 'RDTCEDRBDN'
[21:33:23] Info   At Service 0x19 SubService 0x7 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Report_nbr_of_DTC_bei_severity' to 'RNODTCBSMR'
[21:33:23] Info   At Service 0x19 SubService 0x8 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_DTC_by_severity' to 'RDTCBSMR'
[21:33:23] Info   At Service 0x19 SubService 0x9 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_severity_information' to 'RSIODTC'
[21:33:23] Info   At Service 0x19 SubService 0xa 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_ReadAllSupported' to 'RSUPDTC'
[21:33:23] Info   At Service 0x19 SubService 0xc 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_first_confirmed_DTC' to 'RFCDTC'
[21:33:23] Info   At Service 0x19 SubService 0xd 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_most_recent_test_failed_DTC' to 'RMRTFDTC'
[21:33:23] Info   At Service 0x19 SubService 0x14 
[21:33:23] Info     - Qualifier changed from 'FaultMemory_Read_fault_detection_counter' to 'RDTCFDC'
[21:33:23] Info   At Service 0x22 
[21:33:23] Info     - Spec changed from '8' to 'Other'(12)
[21:33:23] Info     - Qualifier changed from 'SampleIoControl_Read' to 'ReadDataById'
[21:33:23] Info     - Service action qualifier set to 'Read'
[21:33:23] Info   At Service 0x22 SubService 0x3 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0x100 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0x101 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0xf180 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0xf187 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0xf189 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0xf18c 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0xf190 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x22 SubService 0xf193 
[21:33:23] Info     - SubService action qualifier set to 'ReadDid'
[21:33:23] Info   At Service 0x27 
[21:33:23] Info     - Qualifier changed from 'SeedLevel1_Request' to 'SecurityAccess'
[21:33:23] Info     - Service action qualifier set to 'SecurityAccess'
[21:33:23] Info   At Service 0x27 SubService 0x2 
[21:33:23] Info     - SubService action qualifier set to 'SendKey'
[21:33:23] Info   At Service 0x27 SubService 0x4 
[21:33:23] Info     - SubService action qualifier set to 'SendKey'
[21:33:23] Info   At Service 0x27 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'GetSeed'
[21:33:23] Info   At Service 0x27 SubService 0x3 
[21:33:23] Info     - SubService action qualifier set to 'GetSeed'
[21:33:23] Info   At Service 0x28 
[21:33:23] Info     - Qualifier changed from 'EnableRxAndEnableTx_Control' to 'CommunicationControl'
[21:33:23] Info   At Service 0x28 SubService 0x0 
[21:33:23] Info     - SubService action qualifier set to 'CommCtrl'
[21:33:23] Info   At Service 0x28 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'CommCtrl'
[21:33:23] Info   At Service 0x28 SubService 0x2 
[21:33:23] Info     - SubService action qualifier set to 'CommCtrl'
[21:33:23] Info   At Service 0x28 SubService 0x3 
[21:33:23] Info     - SubService action qualifier set to 'CommCtrl'
[21:33:23] Info   At Service 0x28 SubService 0x0 
[21:33:23] Info     - Qualifier changed from 'EnableRxAndEnableTx_Control' to 'EnableRxAndTx'
[21:33:23] Info   At Service 0x28 SubService 0x1 
[21:33:23] Info     - Qualifier changed from 'EnableRxAndDisableTx_Control' to 'EnableRxAndDisableTx'
[21:33:23] Info   At Service 0x28 SubService 0x2 
[21:33:23] Info     - Qualifier changed from 'DisableRxAndEnableTx_Control' to 'DisableRxAndEnableTx'
[21:33:23] Info   At Service 0x28 SubService 0x3 
[21:33:23] Info     - Qualifier changed from 'DisableRxAndDisableTx_Control' to 'DisableRxAndTx'
[21:33:23] Info   At Service 0x2e 
[21:33:23] Info     - Qualifier changed from 'DevelopmentData_Write' to 'WriteDataById'
[21:33:23] Info     - Service action qualifier set to 'Write'
[21:33:23] Info   At Service 0x2e SubService 0x100 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2e SubService 0x101 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2e SubService 0xf180 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2e SubService 0xf187 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2e SubService 0xf189 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2e SubService 0xf18c 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2e SubService 0xf190 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2e SubService 0xf193 
[21:33:23] Info     - SubService action qualifier set to 'WriteDid'
[21:33:23] Info   At Service 0x2f 
[21:33:23] Info     - Qualifier changed from 'SampleIoControl_ReturnControl' to 'IoControlById'
[21:33:23] Info     - Service action qualifier set to 'IoCtrl'
[21:33:23] Info   At Service 0x2f SubService 0x3 0x0 
[21:33:23] Info     - SubService action qualifier set to 'IoCtrlRetCtrlToEcu'
[21:33:23] Info   At Service 0x2f SubService 0x3 0x1 
[21:33:23] Info     - SubService action qualifier set to 'IoCtrlRstToDefault'
[21:33:23] Info   At Service 0x2f SubService 0x3 0x2 
[21:33:23] Info     - SubService action qualifier set to 'IoCtrlFrzCurrState'
[21:33:23] Info   At Service 0x2f SubService 0x3 0x3 
[21:33:23] Info     - SubService action qualifier set to 'IoCtrlShortTermAdj'
[21:33:23] Info   At Service 0x31 
[21:33:23] Info     - Spec changed from '8' to 'RoutineControl'(9)
[21:33:23] Info     - Qualifier changed from 'SampleRoutineControl_Start' to 'RoutineControl'
[21:33:23] Info   At Service 0x31 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'RtnCtrlStart'
[21:33:23] Info   At Service 0x31 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'RtnCtrlStart'
[21:33:23] Info   At Service 0x31 SubService 0x2 
[21:33:23] Info     - SubService action qualifier set to 'RtnCtrlStop'
[21:33:23] Info   At Service 0x31 SubService 0x3 
[21:33:23] Info     - SubService action qualifier set to 'RtnCtrlReqRes'
[21:33:23] Info   At Service 0x31 SubService 0x3 
[21:33:23] Info     - SubService action qualifier set to 'RtnCtrlReqRes'
[21:33:23] Info   At Service 0x3e 
[21:33:23] Info     - Qualifier changed from 'TesterPresent_Send' to 'TesterPresent'
[21:33:23] Info   At Service 0x3e SubService 0x0 
[21:33:23] Info     - SubService action qualifier set to 'Send'
[21:33:23] Info     - Qualifier changed from 'TesterPresent_Send' to 'TesterPresent'
[21:33:23] Info   At Service 0x85 
[21:33:23] Info     - Spec changed from '12' to 'FaultMemory'(2)
[21:33:23] Info     - Qualifier changed from 'ControlDTCSetting_On' to 'ControlDtcSetting'
[21:33:23] Info   At Service 0x85 SubService 0x1 
[21:33:23] Info     - SubService action qualifier set to 'ControlDtcSetting'
[21:33:23] Info   At Service 0x85 SubService 0x2 
[21:33:23] Info     - SubService action qualifier set to 'ControlDtcSetting'
[21:33:23] Info   At Service 0x85 SubService 0x1 
[21:33:23] Info     - Qualifier changed from 'ControlDTCSetting_On' to 'Enable'
[21:33:23] Info   At Service 0x85 SubService 0x2 
[21:33:23] Info     - Qualifier changed from 'ControlDTCSetting_Off' to 'Disable'
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep Service (completed in 0.062s (62ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep StateMachine >>>>>>>>>>>>>
[21:33:23] Info   * Merging Environmental Modes
[21:33:23] Info   * Merging Environmental Dids
[21:33:23] Info   * Merging Environmental Rules
[21:33:23] Info   * Merging Access Conditions
[21:33:23] Info   * Checking Diagnostic Sessions
[21:33:23] Info   * Building Diagnostic Sessions
[21:33:23] Info     - Session 'Default' created
[21:33:23] Info     - Session 'Programming' created
[21:33:23] Info     - Session 'Extended' created
[21:33:23] Info   * Checking Diagnostic Securities
[21:33:23] WARN     - Service 0x27 0x2 not allowed in its own state 'UnlockedL1'
[21:33:23] INFO       The service execution for this session state will be enabled
[21:33:23] WARN     - Service 0x27 0x2 misses a transition from state 'Level_01' to state 'UnlockedL1'
[21:33:23] INFO       The required transition will be added
[21:33:23] WARN     - Service 0x27 0x4 not allowed in its own state 'Level_3'
[21:33:23] INFO       The service execution for this session state will be enabled
[21:33:23] WARN     - Security state 'Level_01' has no assigned security service
[21:33:23] INFO       Security state 'Level_01' deleted
[21:33:23] Info   * Building Diagnostic Securities
[21:33:23] Info     - Security 'UnlockedL1' created
[21:33:23] Info     - Security 'Level_3' created
[21:33:23] Info   * Checking Authorizations
[21:33:23] Info   * Building Authorizations
[21:33:23] Info   * Checking Environmental Conditions
[21:33:23] Info   * Building Environmental Conditions
[21:33:23] Info   * Building Access Conditions
[21:33:23] Info     - Access Cond '|' created
[21:33:23] Info     - Access Cond 'S02;S03|' created
[21:33:23] Info     - Access Cond 'S03|' created
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep StateMachine (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep StateMachine2 >>>>>>>>>>>>>
[21:33:23] Info   At Security 0x1 [serviceAttr(MaxAttemptsToDelay):  exists] 
[21:33:23] Info     - Set property 'NumFailed' to '3'
[21:33:23] Info   At Security 0x1 [serviceAttr(DelayTimeMs):  exists] 
[21:33:23] Info     - Set property 'DelayTime' to '10000'
[21:33:23] Info   At Security 0x1 [serviceAttr(DelayTimeOnPowerOnMs):  exists] 
[21:33:23] Info     - Set property 'BootDelayTime' to '0'
[21:33:23] Info   At Security 0x2 [serviceAttr(MaxAttemptsToDelay):  exists] 
[21:33:23] Info     - Set property 'NumFailed' to '3'
[21:33:23] Info   At Security 0x2 [serviceAttr(DelayTimeMs):  exists] 
[21:33:23] Info     - Set property 'DelayTime' to '10000'
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep StateMachine2 (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep StateMachine3 >>>>>>>>>>>>>
[21:33:23] Info   At Session 0x1 [P2Time is Null] 
[21:33:23] Info     - Set property 'P2Time' to '50'
[21:33:23] Info   At Session 0x1 [P2ExTime is Null] 
[21:33:23] Info     - Set property 'P2ExTime' to '5000'
[21:33:23] Info   At Session 0x2 [P2Time is Null] 
[21:33:23] Info     - Set property 'P2Time' to '50'
[21:33:23] Info   At Session 0x2 [P2ExTime is Null] 
[21:33:23] Info     - Set property 'P2ExTime' to '5000'
[21:33:23] Info   At Session 0x3 [P2Time is Null] 
[21:33:23] Info     - Set property 'P2Time' to '50'
[21:33:23] Info   At Session 0x3 [P2ExTime is Null] 
[21:33:23] Info     - Set property 'P2ExTime' to '5000'
[21:33:23] Info   At Session 0x1 [JumpToBoot is Null] 
[21:33:23] Info     - Set property 'JumpToBoot' to 'noBoot'
[21:33:23] Info     - Set property 'Reset-to-FBL' to false
[21:33:23] Info   At Session 0x3 [JumpToBoot is Null] 
[21:33:23] Info     - Set property 'JumpToBoot' to 'noBoot'
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep StateMachine3 (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep Settings >>>>>>>>>>>>>
[21:33:23] Info   At Ecu 'MyEcu' 
[21:33:23] Info     - Set 'periodic rate slow' to '1000'
[21:33:23] Info     - Set 'periodic rate medium' to '100'
[21:33:23] Info     - Set 'periodic rate fast' to '20'
[21:33:23] Info     - Set 'maximum number of dynamically defined dids' to '5'
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep Settings (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep FaultMemory >>>>>>>>>>>>>
[21:33:23] Info   At DTC 0x2 
[21:33:23] Info     - Set DTC-Prop 'DtcType' to default 'Fault'
[21:33:23] Info     - Set DTC-Prop 'Priority' to '2'
[21:33:23] Info     - Set DTC-Prop 'AgingCycle' to 'DEM_IGNITION'
[21:33:23] Info     - Set DTC-Prop 'AgingCount' to '100'
[21:33:23] Info   At DTC 0x2 DTC_SHORTNAME exists 
[21:33:23] Info     - Set DTC-Prop 'Qualifier' to 'DTC_0x000002'
[21:33:23] Info   At DTC 0x2 DTC_AGING_SUPPORTED == not supported 
[21:33:23] Info     - Set DTC-Prop 'AgingAllowed' to 'false'
[21:33:23] Info   At DTC 0x2 DTC_SEVERITY_VALUE == noSeverity 
[21:33:23] Info     - Set DTC-Prop 'Severity' to '0'
[21:33:23] Info   At DTC 0x3 
[21:33:23] Info     - Set DTC-Prop 'DtcType' to default 'Fault'
[21:33:23] Info     - Set DTC-Prop 'Priority' to '1'
[21:33:23] Info     - Set DTC-Prop 'AgingCycle' to 'DEM_WARMUP'
[21:33:23] Info     - Set DTC-Prop 'AgingCount' to '40'
[21:33:23] Info   At DTC 0x3 DTC_SHORTNAME exists 
[21:33:23] Info     - Set DTC-Prop 'Qualifier' to 'DTC_0x000003'
[21:33:23] Info   At DTC 0x3 DTC_AGING_SUPPORTED == supported 
[21:33:23] Info     - Set DTC-Prop 'AgingAllowed' to 'true'
[21:33:23] Info   At DTC 0x3 DTC_SEVERITY_VALUE == noSeverity 
[21:33:23] Info     - Set DTC-Prop 'Severity' to '0'
[21:33:23] Info   At Faultmemory  
[21:33:23] Info     - Set fault memory property 'ecgNaming' to 'singleElem'
[21:33:23] Info   At Service 0x19 SubService 0x2 
[21:33:23] Info     - Set primary memory property 'StatAvailMask' to '255'
[21:33:23] Info   At Event-Memory  
[21:33:23] Info     - Set primary memory property 'ssrUpdatable' to 'true'
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep FaultMemory (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep FaultMemory1 >>>>>>>>>>>>>
[21:33:23] Info   <<<<<<<<<<<<< ShapingStep FaultMemory1 (completed in 0.000s (0ms) <<<<<<<<<<<<<
[21:33:23] Info   >>>>>>>>>>>>> ShapingStep FaultMemory2 >>>>>>>>>>>>>
[21:33:23] Info   * Building DidSets
[21:33:23] Info   * Building Events
[21:33:23] Info   At Event-Memory  SSR-Numeration is Null 
